@relation 'gesture-weka.filters.unsupervised.instance.RemoveMisclassified-Wweka.classifiers.bayes.NaiveBayes -D-C-1-F0-T0.1-I0-weka.filters.unsupervised.instance.RemoveMisclassified-Wweka.classifiers.bayes.NaiveBayes -D-C-1-F0-T0.1-I0'

@attribute meanX numeric
@attribute meanY numeric
@attribute meanZ numeric
@attribute maxX numeric
@attribute maxY numeric
@attribute maxZ numeric
@attribute minX numeric
@attribute minY numeric
@attribute minZ numeric
@attribute meanCrossingX numeric
@attribute meanCrossingY numeric
@attribute meanCrossingZ numeric
@attribute absMeanX numeric
@attribute absMeanY numeric
@attribute absMeanZ numeric
@attribute absDifferenceX numeric
@attribute absDifferenceY numeric
@attribute absDifferenceZ numeric
@attribute stdDeviationX numeric
@attribute stdDeviationY numeric
@attribute stdDeviationZ numeric
@attribute skewnessX numeric
@attribute skewnessY numeric
@attribute skewnessZ numeric
@attribute kurtosisX numeric
@attribute kurtosisY numeric
@attribute kurtosisZ numeric
@attribute rootMeanSquareX numeric
@attribute rootMeanSquareY numeric
@attribute rootMeanSquareZ numeric
@attribute percentile25X numeric
@attribute percentile25Y numeric
@attribute percentile25Z numeric
@attribute percentile50X numeric
@attribute percentile50Y numeric
@attribute percentile50Z numeric
@attribute percentile75X numeric
@attribute percentile75Y numeric
@attribute percentile75Z numeric
@attribute class {gesture-pacing,gesture-rocking,gesture-hairpulling,gesture-scratching,gesture-hitting,gesture-punching,gesture-still}

@data
-3.548675,2.345778,-2.522593,6.524744,13.94428,1.460762,-25.273642,-11.988516,-20.912603,11,11,9,5.021943,5.871886,2.938345,7.889735,8.499926,0,47.25573,48.60498,21.520695,-1.616234,-0.307234,-3.286666,3.729658,0.006784,12.681899,7.736202,7.355791,5.280546,-7.240814,-2.20491,-3.374178,-1.512238,2.361581,-1.795202,-0.28491,6.405836,-0.527922,gesture-hairpulling
-2.177279,2.37633,-1.031769,7.146859,11.812841,1.654693,-25.099014,-11.808203,-4.498406,13,11,12,4.074731,6.279956,1.653139,7.214914,8.462963,0,39.512085,47.744858,3.286786,-2.396262,-0.741046,-0.383877,8.426402,-0.294874,-0.986242,6.652265,7.30697,2.085985,-4.986972,-1.247229,-2.744354,-0.991798,3.324948,-1.002273,0.999729,7.240665,0.712125,gesture-hairpulling
-3.649609,1.165336,-0.842199,2.098667,10.821342,3.555838,-24.801985,-11.546786,-4.453215,11,12,9,4.175615,5.968144,1.926892,6.383203,9.232985,0,34.534336,43.06504,4.510596,-2.586791,-0.246928,0.324783,7.975438,-1.139351,-0.62979,6.917657,6.665062,2.284709,-4.831948,-5.365406,-2.853589,-2.548777,2.681057,-1.092504,-0.748637,6.344784,0.461632,gesture-hairpulling
-1.580529,1.921946,-1.340276,5.280861,12.118851,3.691709,-8.156147,-9.833435,-9.477298,10,10,11,3.248359,5.99308,2.193824,4.194194,8.7241,0,11.939638,44.35508,7.349602,0.159693,-0.308998,-1.033154,-0.623563,-0.936998,3.123134,3.799699,6.931736,3.024226,-4.171448,-4.056825,-2.53127,-2.68375,2.42383,-1.551443,1.493383,6.397756,-0.098004,gesture-hairpulling
-1.907227,0.631942,-1.422083,5.039794,9.487922,8.995315,-13.087604,-12.777555,-15.365238,11,13,8,3.689471,5.183021,2.713605,5.58574,8.191484,0,23.146194,41.667038,17.639359,-0.891356,-0.642485,-1.146791,0.356309,-0.244166,6.906321,5.175298,6.48586,4.434149,-3.446131,-3.156605,-2.699911,-1.205481,0.337882,-1.386692,1.142932,5.117606,0.143652,gesture-hairpulling
-2.689186,1.560992,-0.537874,2.406023,12.361862,5.550028,-10.467749,-13.088352,-6.265925,11,12,9,3.133924,6.944859,1.907728,4.660493,9.342886,0,12.675871,62.676857,6.207071,-0.935318,-0.531189,0.199065,0.043138,-0.82096,1.277759,4.461792,8.069296,2.548799,-4.718373,-4.746505,-2.407669,-1.551143,2.215684,-0.534805,-0.264186,9.154829,0.156222,gesture-hairpulling
-2.10366,0.880797,-0.757663,6.114642,11.458799,4.841627,-11.355549,-11.589882,-8.016536,11,11,11,3.426855,5.506489,2.737424,5.081037,8.158616,0,16.445412,42.65557,9.814287,-0.406466,-0.164885,-0.154344,0.384797,-0.779095,-0.124619,4.568457,6.590249,3.223095,-4.069844,-4.982932,-3.277819,-2.112419,1.399757,-1.477671,0.318514,3.536685,1.814805,gesture-hairpulling
-2.002048,1.498729,-0.935913,3.020435,11.949012,3.54297,-8.755297,-12.68059,-10.329783,14,11,12,3.257669,5.75704,2.387937,5.297633,9.435751,0,13.826355,46.008507,10.178047,-0.515757,-0.477522,-1.322964,-1.03032,-0.34491,2.525505,4.223097,6.94656,3.324753,-6.335208,-3.506159,-2.378735,-1.222838,1.051416,-0.63581,0.816722,7.202657,0.960524,gesture-hairpulling
-0.759219,1.52012,-1.262826,18.863703,14.81128,3.604022,-18.041656,-12.244396,-13.166613,10,12,6,5.68051,6.763901,2.454181,9.534984,11.213872,0,67.28636,65.32119,14.400198,-0.101394,0.014917,-1.75142,1.235436,-1.078501,3.816845,8.237886,8.223866,3.999366,-3.465607,-6.929568,-3.031743,-0.023942,0.747816,-0.472556,1.699285,9.055919,0.059406,gesture-hairpulling
-5.074858,3.111883,-0.828327,6.862381,13.426534,5.365556,-16.770933,-12.568511,-21.455788,11,14,11,6.382137,6.718245,3.665964,8.431062,10.598304,0,40.857674,58.286407,32.74424,-0.24394,-0.493099,-2.371751,-0.499582,-0.40179,7.843405,8.161609,8.244406,5.7819,-12.474988,-1.843535,-2.640056,-4.447828,2.355296,0.191087,-1.488146,9.199421,1.992724,gesture-hairpulling
